term,term_label,parent_term,parent_label
ENVO:01000306,freshwater environment,ENVO:01000317,aquatic environment
ENVO:01000307,saline water environment,ENVO:01001040,saline environment
ENVO:01000778,key biodiversity area,ENVO:00000358,area of protected biodiversity
ENVO:01001169,area protected according to IUCN guidelines,ENVO:00000358,area of protected biodiversity
ENVO:01001339,diurnal marine tidal flow process,ENVO:01001333,marine tidal flow process
ENVO:01001342,tidal flow process,ENVO:01000982,water flow process
ENVO:01001343,semi-diurnal marine tidal flow process,ENVO:01001333,marine tidal flow process
ENVO:01000891,area of pastureland or hayfields,ENVO:01001200,anthropised terrestrial environmental zone
ENVO:01000885,area of developed space with medium usage intensity,ENVO:01001269,area of developed space
ENVO:01001029,fecal environment,ENVO:01000998,environmental system determined by a material
ENVO:01000861,area of dwarf scrub,ENVO:01001293,bush area
ENVO:01000855,area of mixed forest,ENVO:01001305,vegetated area
ENVO:01000914,ice ablation zone,ENVO:01001351,ice decumulation zone
ENVO:01000939,time crystal,ENVO:00010483,environmental material
ENVO:01001192,sediment surface,ENVO:00010504,surface layer
ENVO:01001482,tornado,ENVO:01000755,aeroform
ENVO:01001440,coal mining,ENVO:01001437,mining
ENVO:01001432,forestry,ENVO:01001431,land use process
ENVO:01001442,agriculture,ENVO:01001431,land use process
ENVO:01001493,satellite imaging of a planet,ENVO:01001492,satellite imaging
ENVO:06105112,synthetic plastic,ENVO:06105101,plastic
ENVO:06105110,manufactured plastisphere,ENVO:06105106,plastisphere
ENVO:06105004,thermosetting disposition,BFO_0000016,disposition
ENVO:03000137,freezing fog,ENVO:01000844,fog
ENVO:03000048,thaw hole,ENVO:03000117,channel
ENVO:01000944,microplastic particle,ENVO:01000776,piece of plastic
ENVO:01001484,fire whirl,ENVO:01000755,aeroform
ENVO:01001416,benthic deep-sea mining,ENVO:01001439,marine mining
ENVO:01001439,marine mining,ENVO:01001437,mining
ENVO:01001446,usage of an environment for residential activity,ENVO:01001436,planned environmental usage process
ENVO:01001449,usage of an environment for defence,ENVO:01001436,planned environmental usage process
ENVO:01001436,planned environmental usage process,OBI_0000011,planned process
ENVO:01001460,mid-elevation mountain,ENVO:00000081,mountain
ENVO:01001462,UNEP-WCMC class 2 mountain,ENVO:01001459,high-elevation mountain
ENVO:06105015,biodegradation of plastic,ENVO:06105014,biodegradation
ENVO:06105014,biodegradation,GO_0008150,biological_process
ENVO:06105022,fouling,ENVO:03000009,material accumulation process
ENVO:06105125,plastic manufacturing process,ENVO:01000993,manufacturing process
ENVO:03600019,sugarcane vinasse,ENVO:03600022,vinasse
ENVO:01000828,humid air,ENVO:00002005,air
ENVO:00002164,fossil material,ENVO:01000814,solid environmental material
ENVO:03000021,soot,ENVO:01000060,particulate matter
ENVO:03000003,nivation,ENVO:03000043,material transformation process
ENVO:01001111,fossil worm burrow,ENVO:03000117,channel
ENVO:01001459,high-elevation mountain,ENVO:00000081,mountain
ENVO:01001461,UNEP-WCMC class 1 mountain,ENVO:01001459,high-elevation mountain
ENVO:01001441,opencast mining,ENVO:01001433,terrestrial mining
ENVO:01001374,sea state,PATO_0001018,physical quality
ENVO:01001375,sea ice variability,PATO_0001303,variability
ENVO:01001376,marine faunal bed,ENVO:01001378,marine bed
ENVO:01001377,sea surface height,PATO_0001687,elevation
ENVO:01001378,marine bed,ENVO:00000501,submerged bed
ENVO:01001379,mussel bed,ENVO:01001376,marine faunal bed
ENVO:01001380,neritic mussel reef,ENVO:01001386,mussel reef
ENVO:01001383,area of attached Modiolus assemblages,ENVO:01001382,area of attached mussel assemblages
ENVO:01001384,area of attached faunal communities,ENVO:01000408,environmental zone
ENVO:01001388,oceanic mussel bed,ENVO:01001379,mussel bed
ENVO:01001389,neritic mussel bed,ENVO:01001379,mussel bed
ENVO:01001390,Bathymodiolus-dominated oceanic mussel bed,ENVO:01001388,oceanic mussel bed
ENVO:01001395,necromass,ENVO:01000155,organic material
ENVO:01001396,abyssal clay,ENVO:00002982,clay
ENVO:01001397,ultisol,ENVO:00001998,soil
ENVO:01001398,aerosolisation of dust,ENVO:01001367,primary aerosol formation process
ENVO:01001399,atmospheric aerosolisation of dust,ENVO:02500003,atmospheric process
ENVO:01001400,homomutatus cloud,ENVO:01001428,water-based cloud
ENVO:01001401,haze formation process,ENVO:02500003,atmospheric process
ENVO:01001402,haze,ENVO:01001089,aerosolised solids
ENVO:01001403,haze formation event,ENVO:01001401,haze formation process
ENVO:01001404,ecological province,ENVO:01001110,ecosystem
ENVO:01001407,cirrocumulus cloud,ENVO:01000293,ice mass
ENVO:01001408,cirrostratus cloud,ENVO:01000293,ice mass
ENVO:01001409,altocumulus cloud,ENVO:01001690,mass of liquid
ENVO:01001410,altostratus cloud,ENVO:01001428,water-based cloud
ENVO:01001411,nimbostratus cloud,ENVO:01001428,water-based cloud
ENVO:01001412,stratocumulus cloud,ENVO:01001690,mass of liquid
ENVO:01001413,stratus cloud,ENVO:01001690,mass of liquid
ENVO:01001414,cumulus cloud,ENVO:01001690,mass of liquid
ENVO:01001415,homogenitus cloud,ENVO:01001428,water-based cloud
ENVO:01001417,silvagenitus cloud,ENVO:01001428,water-based cloud
ENVO:01001418,cirrus fibratus cloud,ENVO:01001160,cirrus cloud
ENVO:01001419,cumulonimbus cloud,ENVO:01001428,water-based cloud
ENVO:01001421,cirrus uncinus cloud,ENVO:01001160,cirrus cloud
ENVO:01001422,cirrus spissatus cloud,ENVO:01001160,cirrus cloud
ENVO:01001423,cirrostratus fibratus cloud,ENVO:01001408,cirrostratus cloud
ENVO:01001424,stratocumulus castellanus cloud,ENVO:01001412,stratocumulus cloud
ENVO:01001425,cirrus castellanus cloud,ENVO:01001160,cirrus cloud
ENVO:01001426,cirrocumulus castellanus cloud,ENVO:01001407,cirrocumulus cloud
ENVO:01001427,altocumulus castellanus cloud,ENVO:01001409,altocumulus cloud
ENVO:01001428,water-based cloud,ENVO:01001010,hydrometeor
ENVO:01001429,land conversion process,ENVO:01000743,land consumption process
ENVO:01001430,agricultural land conversion process,ENVO:01001429,land conversion process
ENVO:01001434,anthropogenic ecosystem conversion process,ENVO:02500027,anthropogenic environmental process
ENVO:01001435,planned deforestation,ENVO:02500027,anthropogenic environmental process
ENVO:01001452,Calyptra habitat,ENVO:01000739,habitat
ENVO:01001453,terrestrial mountain,ENVO:00000081,mountain
ENVO:01001454,polar mountain,ENVO:00000081,mountain
ENVO:01001455,temperate mountain,ENVO:00000081,mountain
ENVO:01001456,tropical mountain,ENVO:00000081,mountain
ENVO:01001457,cloud forest,ENVO:01000435,montane forest
ENVO:01001458,mist,ENVO:01001088,aerosolised liquids
ENVO:01001468,intertidal ecosystem,ENVO:00000230,coastal wetland ecosystem
ENVO:01001469,observing system,RO_0002577,system
ENVO:01001470,observatory system,ENVO:01001469,observing system
ENVO:01001475,omics observatory system,ENVO:01001470,observatory system
ENVO:01001477,liquid astronomical body part,ENVO:01001784,compound astronomical body part
ENVO:01001478,gaseous astronomical body part,ENVO:01001784,compound astronomical body part
ENVO:01001479,fluid astronomical body part,ENVO:01000813,astronomical body part
ENVO:01001483,surface of an astronomical body,ENVO:00010504,surface layer
ENVO:01001485,multiple vortex tornado,ENVO:01001482,tornado
ENVO:01001486,landspout,ENVO:01001482,tornado
ENVO:01001487,waterspout,ENVO:01001482,tornado
ENVO:01001488,aircraft,ENVO:01000604,vehicle
ENVO:01001489,spur,ENVO:00002000,slope
ENVO:01001490,intrusion,ENVO:00000191,solid astronomical body part
ENVO:01001491,flattened elevation,ENVO:00000176,elevation
ENVO:01001495,dioxygen dissolved in marine water,CHEBI_15379,dioxygen
ENVO:01001496,inorganic macronutrient dissolved in ocean water,CHEBI_33937,macronutrient
ENVO:01001497,carbonate system of ocean water,RO_0002577,system
ENVO:01001498,thermokarst formation process,ENVO:02500000,environmental system process
ENVO:01001499,active agri-ecosystem management process,ENVO:01001170,active ecosystem management process
ENVO:01001500,anthropogenic light pollution,ENVO:02500036,environmental pollution
ENVO:01001501,radiation from a manufactured product,ENVO:01001026,electromagnetic radiation
ENVO:01001502,visible spectrum radiation from a manufactured product,ENVO:01001501,radiation from a manufactured product
ENVO:01001503,glacial surface layer,ENVO:01001311,solid surface layer
ENVO:01001504,glacial surface layer velocity,PATO_0002242,velocity
ENVO:01001507,floating ice calf,ENVO:01001506,ice calf
ENVO:01001508,anchored ice calf,ENVO:01001506,ice calf
ENVO:01001509,terrestrial ice calf,ENVO:01001506,ice calf
ENVO:01001510,material congelation process,ENVO:03000043,material transformation process
ENVO:01001512,congelation sea ice,ENVO:00002200,sea ice
ENVO:01001513,permafrost congelation ice,ENVO:01000277,water ice
ENVO:01001514,congelation ice in a fresh water body,ENVO:01001515,freshwater congelation ice
ENVO:01001515,freshwater congelation ice,ENVO:01001511,freshwater ice
ENVO:01001516,ice cave congelation ice,ENVO:01001515,freshwater congelation ice
ENVO:01001517,drift ice mass,ENVO:01001345,floating ice mass
ENVO:01001518,drifting sea ice mass,ENVO:01001536,sea ice mass
ENVO:01001519,area of pack ice,ENVO:01000408,environmental zone
ENVO:01001520,area of sea ice,ENVO:01000408,environmental zone
ENVO:01001521,area of drift ice,ENVO:01000408,environmental zone
ENVO:01001522,fast ice,ENVO:01001536,sea ice mass
ENVO:01001523,frazil,ENVO:03000063,new ice
ENVO:01001524,frozen land,ENVO:01001785,land
ENVO:01001525,hard-frozen soil,ENVO:01000814,solid environmental material
ENVO:01001526,frozen soil,ENVO:00001998,soil
ENVO:01001527,plastic-frozen soil,ENVO:01001526,frozen soil
ENVO:01001528,friable-frozen soil,ENVO:01000814,solid environmental material
ENVO:01001529,glacier snout,ENVO:01001547,land ice mass
ENVO:01001530,water ice core,ENVO:01000293,ice mass
ENVO:01001531,sea ice field,ENVO:00000299,ice field
ENVO:01001532,glacier ice field,ENVO:00000299,ice field
ENVO:01001533,mass ice flow,ENVO:01001334,advective transport process
ENVO:01001534,tabular iceberg,ENVO:00000298,marine iceberg
ENVO:01001537,sea ice hummock,ENVO:03000110,cryoform
ENVO:01001538,frost-formed hummock,ENVO:00000516,hummock
ENVO:01001539,branched valley glacier,ENVO:00000458,valley glacier
ENVO:01001540,simple valley glacier,ENVO:00000458,valley glacier
ENVO:01001541,tributary glacier,ENVO:00000133,glacier
ENVO:01001542,ice surface layer,ENVO:01001311,solid surface layer
ENVO:01001543,water ice surface layer,ENVO:01001276,water ice layer
ENVO:01001544,two-dimensional fiat ice surface,BFO_0000146,two-dimensional continuant fiat boundary
ENVO:01001545,two-dimensional fiat water ice surface,ENVO:01001544,two-dimensional fiat ice surface
ENVO:01001546,iceberg,ENVO:01001547,land ice mass
ENVO:01001547,land ice mass,ENVO:01000293,ice mass
ENVO:01001548,freezing,ENVO:01001510,material congelation process
ENVO:01001549,freezing of water into water ice,ENVO:02500031,hydrological process
ENVO:01001550,sea-ice lead,ENVO:01001551,ice lead
ENVO:01001551,ice lead,ENVO:01001554,surface layer of a water body
ENVO:01001552,flaw lead,ENVO:01001551,ice lead
ENVO:01001553,shore lead,ENVO:01001551,ice lead
ENVO:01001554,surface layer of a water body,ENVO:01001191,water surface
ENVO:01001555,frozen lead,ENVO:01001551,ice lead
ENVO:01001556,pack ice mass,ENVO:01001517,drift ice mass
ENVO:01001557,water-body-derived ice,ENVO:01000277,water ice
ENVO:01001558,area of seasonal sea ice,ENVO:01000408,environmental zone
ENVO:01001559,cryopeg,ENVO:01001609,cryospheric layer
ENVO:01001560,colloidal suspension,ENVO:00010483,environmental material
ENVO:01001561,gel,ENVO:01000814,solid environmental material
ENVO:01001562,hydrogel,ENVO:01001561,gel
ENVO:01001563,quicksand,ENVO:00010483,environmental material
ENVO:01001564,rain,BFO_0000027,object aggregate
ENVO:01001565,water-based rain,ENVO:01001564,rain
ENVO:01001566,infrasound,ENVO:01001027,acoustic radiation
ENVO:01001567,protected area,ENVO:01000408,environmental zone
ENVO:01001568,frost heave,ENVO:00000176,elevation
ENVO:01001570,terrestrial ecoregion,ENVO:01000276,ecoregion
ENVO:01001581,sea surface layer,ENVO:01000295,marine layer
ENVO:01001582,forest floor,ENVO:01001785,land
ENVO:04000000,adfreezing,ENVO:01001548,freezing
ENVO:04000001,frost heaving process,ENVO:01001664,cryoturbation of soil
ENVO:04000002,temperature of sea surface,ENVO:09200014,temperature of water
ENVO:09200017,composition of water,PATO_0000025,composition
ENVO:09200018,conductivity of water,PATO_0001757,electrical conductivity
ENVO:2000007,biochar,ENVO:01000560,charcoal
ENVO:2000008,lignite,ENVO:02000091,coal
ENVO:2000010,bitumous coal,ENVO:02000091,coal
ENVO:2000011,anthracite,ENVO:02000091,coal
ENVO:2000012,anthropogenic generation of energy,ENVO:02500027,anthropogenic environmental process
ENVO:2000015,energy,BFO_0000016,disposition
ENVO:2000016,potential energy,ENVO:2000015,energy
ENVO:2000017,kinetic energy,ENVO:2000015,energy
ENVO:2000020,electric energy,ENVO:2000016,potential energy
ENVO:2000021,magnetic energy,ENVO:2000016,potential energy
ENVO:2000022,gravitational energy,ENVO:2000016,potential energy
ENVO:2000023,chemical energy,ENVO:2000016,potential energy
ENVO:2000024,ionization energy,ENVO:2000016,potential energy
ENVO:2000025,nuclear energy,ENVO:2000016,potential energy
ENVO:2000026,chromodynamic energy,ENVO:2000016,potential energy
ENVO:2000027,elastic energy,ENVO:2000016,potential energy
ENVO:2000028,mechanical wave energy,ENVO:2000018,mixed potential and kinetic energy
ENVO:2000029,sound wave energy,ENVO:2000028,mechanical wave energy
ENVO:2000030,radiant energy,ENVO:2000028,mechanical wave energy
ENVO:2000031,rest energy,ENVO:2000016,potential energy
ENVO:2000032,thermal energy,ENVO:2000017,kinetic energy
ENVO:2000034,geothermal energy,ENVO:2000032,thermal energy
ENVO:2000037,fossil fuel power plant,ENVO:00002214,power plant
ENVO:2000044,coke,ENVO:02000091,coal
ENVO:2000046,oxygen cycling,ENVO:02500009,biogeochemical cycling
ENVO:21001212,microwave radiation,ENVO:01001026,electromagnetic radiation
ENVO:21001213,radio wave radiation,ENVO:01001026,electromagnetic radiation
ENVO:21001214,infrared radiation,ENVO:01001026,electromagnetic radiation
ENVO:21001215,visible spectrum radiation,ENVO:01001026,electromagnetic radiation
ENVO:21001216,ultraviolet radiation,ENVO:01001026,electromagnetic radiation
ENVO:21001217,X-ray radiation,ENVO:21001219,ionizing radiation
ENVO:21001218,gamma-ray radiation,ENVO:21001219,ionizing radiation
ENVO:21001219,ionizing radiation,ENVO:01001026,electromagnetic radiation
ENVO:3100001,concentration of Adenosine 5-triphosphate in liquid water,ENVO:3100026,concentration of phosphate in liquid water
ENVO:3100002,concentration of alloxanthine in liquid water,PATO_0000033,concentration of
ENVO:3100003,concentration of alpha-carotene in liquid water,ENVO:3100007,concentration of carotene in liquid water
ENVO:3100004,concentration of ammonium in liquid water,PATO_0000033,concentration of
ENVO:3100005,concentration of bacteriochlorophyll a in liquid water,ENVO:3100036,concentration of chlorophyll in liquid water
ENVO:3100006,concentration of beta-carotene in liquid water,ENVO:3100007,concentration of carotene in liquid water
ENVO:3100007,concentration of carotene in liquid water,PATO_0000033,concentration of
ENVO:3100008,concentration of chlorophyll a in liquid water,ENVO:3100036,concentration of chlorophyll in liquid water
ENVO:3100009,concentration of chlorophyll b in liquid water,ENVO:3100036,concentration of chlorophyll in liquid water
ENVO:3100010,concentration of chlorophyllide a in liquid water,ENVO:3100036,concentration of chlorophyll in liquid water
ENVO:3100011,concentration of dioxygen in liquid water,PATO_0000033,concentration of
ENVO:3100012,concentration of divinyl chlorophyll a in liquid water,ENVO:3100036,concentration of chlorophyll in liquid water
ENVO:3100013,concentration of divinyl chlorophyll b in liquid water,ENVO:3100036,concentration of chlorophyll in liquid water
ENVO:3100014,concentration of fucoxanthin in liquid water,PATO_0000033,concentration of
ENVO:3100015,concentration of Guanosine 5-triphosphate in liquid water,ENVO:3100026,concentration of phosphate in liquid water
ENVO:3100016,concentration of hydrogen peroxide in liquid water,PATO_0000033,concentration of
ENVO:3100017,concentration of hydrogen sulfide in liquid water,PATO_0000033,concentration of
ENVO:3100019,concentration of lutein in liquid water,PATO_0000033,concentration of
ENVO:3100020,concentration of methane in liquid water,PATO_0000033,concentration of
ENVO:3100021,concentration of neoxanthin in liquid water,PATO_0000033,concentration of
ENVO:3100022,concentration of nitrate in liquid water,ENVO:03000123,concentration of nitrate and nitrite in liquid water
ENVO:3100023,concentration of nitrite in liquid water,ENVO:03000123,concentration of nitrate and nitrite in liquid water
ENVO:3100024,concentration of nitrous oxide in liquid water,PATO_0000033,concentration of
ENVO:3100025,concentration of peridinin in liquid water,PATO_0000033,concentration of
ENVO:3100026,concentration of phosphate in liquid water,PATO_0000033,concentration of
ENVO:3100027,concentration of silicate(4-) in liquid water,PATO_0000033,concentration of
ENVO:3100028,concentration of violaxanthin in liquid water,PATO_0000033,concentration of
ENVO:3100029,concentration of zeaxanthin in liquid water,PATO_0000033,concentration of
ENVO:3100030,acidity of water,PATO_0001842,acidity
ENVO:3100031,depth of water,PATO_0001595,depth
ENVO:3100032,fluorescence of water,PATO_0000018,fluorescence
ENVO:3100033,pressure of water,PATO_0001025,pressure
ENVO:3100034,concentration of silicic acid in liquid water,PATO_0000033,concentration of
ENVO:3100036,concentration of chlorophyll in liquid water,PATO_0000033,concentration of
ENVO:03500012,ultrasound radiation,ENVO:01001027,acoustic radiation
ENVO:03500013,mid-infrared radiation,ENVO:21001214,infrared radiation
ENVO:03500014,near-infrared radiation,ENVO:21001214,infrared radiation
ENVO:03500015,far-infrared radiation,ENVO:21001214,infrared radiation
ENVO:03510001,brake fluid,ENVO:03510004,hydraulic fluid
ENVO:03510004,hydraulic fluid,ENVO:00003074,manufactured product
ENVO:03510005,motor oil,ENVO:00003074,manufactured product
ENVO:06105003,thermoplastic material,ENVO:00010483,environmental material
ENVO:06105007,plastic film,ENVO:01000776,piece of plastic
ENVO:06105006,piece of plastic foam,ENVO:01000776,piece of plastic
ENVO:00001998,soil,ENVO:00010483,environmental material
ENVO:00002257,podzol,ENVO:00001998,soil
ENVO:00010483,environmental material,BFO_0000024,fiat object part
ENVO:01000926,knackery,ENVO:00003861,industrial building
ENVO:01000938,hot tub,ENVO:00003074,manufactured product
ENVO:03000000,neve,ENVO:01000406,snow
ENVO:01000928,fish processing building,ENVO:00003863,food processing building
ENVO:03000004,glacial ice,ENVO:01000277,water ice
ENVO:03000054,depositional process,ENVO:03000009,material accumulation process
ENVO:01000945,primary microplastic particle,ENVO:01000944,microplastic particle
ENVO:01000946,secondary microplastic particle,ENVO:01000944,microplastic particle
ENVO:01000947,ecotone,ENVO:01001110,ecosystem
ENVO:01000948,polar tree-line ecotone,ENVO:01000953,tree line ecotone
ENVO:01000949,lichen woodland,ENVO:01000240,conifer woodland
ENVO:01000950,water ice formation process,ENVO:02500031,hydrological process
ENVO:03000121,erosion through nivation,ENVO:02500028,planetary erosion
ENVO:01001230,tropical marginal sea biome,ENVO:01000046,marginal sea biome
ENVO:00000379,inundation disposition,ENVO:01000452,environmental disposition
ENVO:01001607,water current,ENVO:01001308,hydroform
ENVO:01001608,kerosene oil,ENVO:00002983,fuel oil
ENVO:01001609,cryospheric layer,ENVO:01000281,layer
ENVO:01001610,active layer in a cryosphere,ENVO:01001609,cryospheric layer
ENVO:01001611,thawing process,ENVO:01001612,material warming process
ENVO:01001612,material warming process,ENVO:03000043,material transformation process
ENVO:01001613,permafrost thawing process,ENVO:01001611,thawing process
ENVO:01001614,ice-bearing permafrost,ENVO:00000134,permafrost
ENVO:01001615,material cooling process,ENVO:03000043,material transformation process
ENVO:01001616,bare soil,ENVO:00001998,soil
ENVO:01001617,snow accumulation process,ENVO:03000009,material accumulation process
ENVO:01001618,ice accumulation process,ENVO:03000009,material accumulation process
ENVO:01001620,mass of ice and snow,ENVO:01000293,ice mass
ENVO:01001621,englacial,PATO_0000140,position
ENVO:01001622,englacial process,ENVO:02500000,environmental system process
ENVO:01001623,glacial summer surface,ENVO:01001503,glacial surface layer
ENVO:01001624,glacial bed,ENVO:01001503,glacial surface layer
ENVO:01001625,polar tundra ecosystem,ENVO:01001370,tundra ecosystem
ENVO:01001629,polymetallic nodule ecosystem,ENVO:01001048,sediment environment
ENVO:01001630,submarine groundwater discharge process,ENVO:01001631,groundwater discharge process
ENVO:01001631,groundwater discharge process,ENVO:01000982,water flow process
ENVO:01001632,groundwater flow,ENVO:01000982,water flow process
ENVO:01001633,agricultural pollution,ENVO:02500036,environmental pollution
ENVO:01001634,agricultural landscape diversification process,ENVO:01001499,active agri-ecosystem management process
ENVO:01001635,biodiversity conservation process,ENVO:01001171,conservation-focused active ecosystem management process
ENVO:01001636,insect conservation process,ENVO:01001635,biodiversity conservation process
ENVO:01001637,agricultural specialisation process,ENVO:01001499,active agri-ecosystem management process
ENVO:01001638,frost-susceptible soil,ENVO:00001998,soil
ENVO:01001639,formation of a solid aerosol from liquid material in an atmosphere,ENVO:01001086,formation of a solid aerosol in an atmosphere
ENVO:01001640,glaciation of water droplets in a cloud,ENVO:01001639,formation of a solid aerosol from liquid material in an atmosphere
ENVO:01001641,glaciation,BFO_0000038,one-dimensional temporal region
ENVO:01001642,interglacial,BFO_0000038,one-dimensional temporal region
ENVO:01001643,ice age,BFO_0000038,one-dimensional temporal region
ENVO:01001645,gaseous part of an atmosphere,ENVO:01001478,gaseous astronomical body part
ENVO:01001646,amorphous solid,ENVO:01000814,solid environmental material
ENVO:01001647,colloid suspended in a hydrosphere,ENVO:01001560,colloidal suspension
ENVO:01001648,suspended colloidal sediment,ENVO:01001647,colloid suspended in a hydrosphere
ENVO:01001649,heavy fraction material,ENVO:00010483,environmental material
ENVO:01001650,light fraction material,ENVO:00010483,environmental material
ENVO:01001651,particulate matter in a hydrosphere,ENVO:01000436,waterborne particulate matter
ENVO:01001652,atmospheric aerosol,ENVO:00010505,aerosol
ENVO:01001653,well-mixed estuary,ENVO:00000045,estuary
ENVO:01001654,aerosol formation process,ENVO:03000043,material transformation process
ENVO:01001655,glacial process,ENVO:02500000,environmental system process
ENVO:01001656,glacial retreat,ENVO:03000017,glacial ice loss
ENVO:01001657,calving of ice onto land,ENVO:01000917,ice calving process
ENVO:01001658,calving of ice into water,ENVO:01000917,ice calving process
ENVO:01001659,periglacial process,ENVO:01001660,frost action process
ENVO:01001660,frost action process,ENVO:03000010,material transport process
ENVO:01001661,frost jacking,ENVO:01001664,cryoturbation of soil
ENVO:01001662,frost sorting,ENVO:01001664,cryoturbation of soil
ENVO:01001663,frost wedging,ENVO:01001664,cryoturbation of soil
ENVO:01001664,cryoturbation of soil,ENVO:01001660,frost action process
ENVO:01001665,soil cryoturbate,ENVO:00000191,solid astronomical body part
ENVO:01001666,glacial run,ENVO:01000982,water flow process
ENVO:01001667,thalassic,PATO_0001018,physical quality
ENVO:01001668,atmospheric frontal zone,ENVO:01000408,environmental zone
ENVO:01001669,mariculture process,ENVO:02500027,anthropogenic environmental process
ENVO:01001670,open cage mariculture process,ENVO:01001669,mariculture process
ENVO:01001671,open cage mariculture facility,ENVO:00000070,human construction
ENVO:01001672,frontal surface of a weather front,ENVO:01000543,atmospheric layer
ENVO:01001673,fluid surface layer,ENVO:00010504,surface layer
ENVO:01001674,lysocline,ENVO:01000258,fluid cline
ENVO:01001675,nutricline,ENVO:01000258,fluid cline
ENVO:01001676,marine cline,ENVO:01000258,fluid cline
ENVO:01001677,fluid interface layer,ENVO:01001684,interface layer
ENVO:01001678,fluid layer,ENVO:01000281,layer
ENVO:01001679,fluid front,ENVO:01001677,fluid interface layer
ENVO:01001680,gaseous front,ENVO:01001679,fluid front
ENVO:01001681,weather front,ENVO:01000543,atmospheric layer
ENVO:01001682,air mass,ENVO:01001689,mass of gas
ENVO:01001683,gaseous surface layer,ENVO:01001673,fluid surface layer
ENVO:01001684,interface layer,ENVO:01000281,layer
ENVO:01001686,mass of environmental material,BFO_0000030,object
ENVO:01001687,mass of solid material,ENVO:01001686,mass of environmental material
ENVO:01001688,mass of fluid,ENVO:01001686,mass of environmental material
ENVO:01001689,mass of gas,ENVO:01001688,mass of fluid
ENVO:01001690,mass of liquid,ENVO:01001688,mass of fluid
ENVO:01001691,mass of compounded environmental materials,ENVO:01001686,mass of environmental material
ENVO:01001693,isobaric surface,ENVO:01001274,material isosurface
ENVO:01001694,isohaline surface,ENVO:01001274,material isosurface
ENVO:01001695,isopycnal surface,ENVO:01001274,material isosurface
ENVO:01001696,isothermal surface,ENVO:01001274,material isosurface
ENVO:01001697,atmospheric isobaric surface,ENVO:01001693,isobaric surface
ENVO:01001698,polar front,ENVO:01001681,weather front
ENVO:01001701,tropical environment,ENVO:01000254,environmental system
ENVO:01001702,subtropical environment,ENVO:01000254,environmental system
ENVO:01001703,polar environment,ENVO:01000254,environmental system
ENVO:01001704,subpolar environment,ENVO:01000254,environmental system
ENVO:01001705,temperate environment,ENVO:01000254,environmental system
ENVO:01001706,cold front,ENVO:01001681,weather front
ENVO:01001707,warm front,ENVO:01001681,weather front
ENVO:01001708,anafront,ENVO:01001681,weather front
ENVO:01001709,katafront,ENVO:01001681,weather front
ENVO:01001710,intertropical front,ENVO:01001681,weather front
ENVO:01001711,upper air,ENVO:01001682,air mass
ENVO:01001712,free atmosphere,ENVO:01000543,atmospheric layer
ENVO:01001713,upper front,ENVO:01001681,weather front
ENVO:01001714,occluded front,ENVO:01001681,weather front
ENVO:01001715,cold occluded front,ENVO:01001714,occluded front
ENVO:01001716,warm occluded front,ENVO:01001714,occluded front
ENVO:01001717,neutral occluded front,ENVO:01001714,occluded front
ENVO:01001718,secondary cold front,ENVO:01001706,cold front
ENVO:01001719,katabatic wind,ENVO:01000793,atmospheric wind
